Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
NuNet  NTX,"US$ 0,01782",US$ 127.299,US$ 13.182.287,US$ 17.815.269
Nuvola Digital  NVL,"US$ 1,03","US$ 49.125,85",US$ 17.357.504,US$ 21.692.966
Nym  NYM,"US$ 0,05062",US$ 1.320.589,US$ 41.006.802,US$ 50.627.888
O Intelligence Coin  OI,US$ 17.119.244,"US$ 18.186,45",US$ 17.114.276,US$ 17.114.276
Oasis  ROSE,"US$ 0,03103",US$ 21.931.663,US$ 208.774.525,US$ 310.224.156
Oasys  OAS,"US$ 0,01476",US$ 761.458,US$ 59.630.903,US$ 147.137.845
Observer  OBSR,"US$ 0,002849",US$ 141.619,US$ 17.674.132,US$ 39.863.803
Ocean Protocol  OCEAN,"US$ 0,3348",US$ 1.127.537,US$ 68.498.312,US$ 316.999.623
OctaSpace  OCTA,"US$ 0,5642",US$ 528.982,US$ 21.474.081,US$ 21.474.276
Octopus Network  OCT,"US$ 0,1001","US$ 98.707,13",US$ 10.009.018,US$ 10.009.018
Odos  ODOS,"US$ 0,007605",US$ 3.160.737,US$ 12.171.588,US$ 76.072.427
Official Trump  TRUMP,"US$ 15,63",US$ 3.094.158.553,US$ 3.130.528.491,US$ 15.652.644.344
OG Fan Token  OG,"US$ 4,19",US$ 5.863.718,US$ 17.999.130,US$ 20.929.221
OHO Blockchain  OHO,"US$ 0,001041",US$ 172.678,US$ 25.123.912,US$ 46.828.981
OKB  OKB,"US$ 52,91",US$ 7.643.689,US$ 3.174.762.168,US$ 12.485.158.877
OKT Chain  OKT,"US$ 5,40",US$ 333.828,US$ 96.593.890,US$ 96.593.890
Olympus  OHM,"US$ 21,68",US$ 391.304,US$ 354.954.842,US$ 384.420.956
OMG Network  OMG,"US$ 0,2122",US$ 3.824.239,US$ 29.765.871,US$ 29.765.871
Omni Network  OMNI,"US$ 2,74",US$ 10.881.770,US$ 52.295.053,US$ 273.314.170
OmniFlix Network  FLIX,"US$ 0,03205","US$ 41.277,41",US$ 14.673.821,US$ 16.886.066
Ondo  ONDO,"US$ 0,9972",US$ 267.948.294,US$ 3.149.230.843,US$ 9.968.735.835
Ondo US Dollar Yield  USDY,"US$ 1,11",US$ 1.767.196,US$ 599.092.000,US$ 599.193.413
ONFA  OFT,"US$ 0,2354",US$ 1.965.903,US$ 27.906.550,US$ 67.522.257
Ontology  ONT,"US$ 0,1626",US$ 7.707.250,US$ 148.520.558,US$ 162.548.874
Ontology Gas  ONG,"US$ 0,2168",US$ 2.799.940,US$ 89.398.153,US$ 216.665.356
Onyxcoin  XCN,"US$ 0,01996",US$ 51.276.822,US$ 664.409.581,US$ 965.790.526
OORT  OORT,"US$ 0,04731",US$ 1.119.518,US$ 18.441.313,US$ 94.554.062
Open Campus  EDU,"US$ 0,1445",US$ 6.632.861,US$ 37.580.764,US$ 144.483.515
Open Exchange Token  OX OLD,"US$ 0,002276","US$ 17,75",US$ 12.782.205,US$ 13.549.733
OPEN Ticketing Ecosystem  OPN,"US$ 0,0005343","US$ 21.649,11",US$ 12.244.560,US$ 12.244.560
OpenEden OpenDollar  USDO,"US$ 1,00","US$ 5.966,89",US$ 146.729.305,US$ 146.729.305
Openfabric AI  OFN,"US$ 0,04456",US$ 157.851,US$ 11.521.447,US$ 22.282.407
OPENLOOT  OL,"US$ 0,07273",US$ 11.248.193,US$ 27.487.395,US$ 363.806.672
OpenServ  SERV,"US$ 0,04245",US$ 459.219,US$ 29.044.000,US$ 42.464.658
Optimism  OP,"US$ 0,8433",US$ 99.778.338,US$ 1.397.368.720,US$ 3.621.735.390
Optimism Bridged WBTC (Optimism)  WBTC,"US$ 94.532,91",US$ 3.013.428,US$ 89.642.104,US$ 89.642.104
Optio  OPT,"US$ 0,02516","US$ 65.827,76",US$ 135.781.005,US$ 161.379.392
Opulous  OPUL,"US$ 0,0303",US$ 482.877,US$ 15.145.696,US$ 15.145.696
ORA Coin  ORA,"US$ 0,7695",US$ 197.368,US$ 28.843.115,US$ 261.141.831
Oraichain  ORAI,"US$ 3,26",US$ 976.002,US$ 60.169.478,US$ 61.807.045
ORBIT  GRIFT,"US$ 0,01039",US$ 3.974.032,US$ 9.147.248,US$ 10.394.612
Orbiter Finance  OBT,"US$ 0,01271",US$ 10.272.790,US$ 39.461.715,US$ 127.295.855
Orbs  ORBS,"US$ 0,02173",US$ 3.893.586,US$ 99.554.794,US$ 217.211.847
Orby Network USC Stablecoin  USC,"US$ 1,01","US$ 12.093,10",US$ 12.668.758,US$ 12.668.758
Orca  ORCA,"US$ 3,08",US$ 112.913.970,US$ 184.856.612,US$ 231.234.491
Orchid Protocol  OXT,"US$ 0,07539",US$ 7.908.843,US$ 44.595.772,US$ 75.388.672
Orderly Network  ORDER,"US$ 0,1157",US$ 3.258.737,US$ 29.261.495,US$ 115.745.845
ORDI  ORDI,"US$ 8,83",US$ 73.396.367,US$ 185.652.083,US$ 185.652.083
Origin Dollar  OUSD,"US$ 0,9971","US$ 85.121,51",US$ 6.677.234,US$ 6.677.234
Origin Ether  OETH,"US$ 1.818,17",US$ 167.421,US$ 80.066.653,US$ 80.066.653
Origin Sonic  OS,"US$ 0,5381",US$ 15.753.240,US$ 22.934.907,US$ 22.934.911
Origin Token  OGN,"US$ 0,0619",US$ 8.725.879,US$ 42.684.033,US$ 87.257.348
OriginTrail  TRAC,"US$ 0,41",US$ 1.954.855,US$ 204.797.701,US$ 204.983.434
ORIGYN  OGY,"US$ 0,003004","US$ 6.992,78",US$ 26.431.468,US$ 31.172.241
Orion  ORN,"US$ 0,3721","US$ 1.244,77",US$ 12.811.324,US$ 37.206.447
Osaka Protocol  OSAK,"US$ 0,061197","US$ 69.246,80",US$ 91.157.367,US$ 91.157.367
Osmosis  OSMO,"US$ 0,2525",US$ 5.746.017,US$ 182.656.612,US$ 251.717.210
Osmosis allBTC  BTC,"US$ 94.447,68",US$ 1.798.250,US$ 11.749.973,US$ 11.749.973
OSOL  OSOL,"US$ 0,008917",US$ 194.132,US$ 8.918.513,US$ 8.918.513
OUSG  OUSG,"US$ 110,83","US$ 0,00",US$ 424.688.832,US$ 424.688.832
Overnight.fi USD+  USD+,"US$ 0,9997","US$ 78.023,85",US$ 48.100.841,US$ 48.100.841
Overtime  OVER,"US$ 0,09966","US$ 30.217,31",US$ 6.720.449,US$ 6.720.449
Ovr  OVR,"US$ 0,1212",US$ 253.155,US$ 6.214.882,US$ 10.643.223
Own The Doge  DOG,"US$ 0,0009171","US$ 66.595,26",US$ 12.275.240,US$ 15.564.306
OX Coin  OX,"US$ 0,002162",US$ 664.658,US$ 6.228.806,US$ 6.228.806
Oxygen  OXY,"US$ 0,03212","US$ 9.633,55",US$ 6.503.977,US$ 321.403.903
Ozone Chain  OZO,"US$ 0,1499",US$ 243.038,US$ 117.828.586,US$ 149.864.664
PAAL AI  PAAL,"US$ 0,1563",US$ 6.967.459,US$ 139.837.240,US$ 155.987.131
PAID  PAID,"US$ 0,02019","US$ 20.325,77",US$ 9.889.561,US$ 11.885.655
Pain  PAIN,"US$ 1,57",US$ 3.103.385,US$ 7.866.204,US$ 15.732.456
Paintswap  BRUSH,"US$ 0,01665","US$ 40.914,28",US$ 6.856.615,US$ 6.856.615
Pallapay  PALLA,"US$ 0,00925","US$ 1.744,43",US$ 7.021.110,US$ 18.500.522
PaLM AI  PALM,"US$ 0,3834","US$ 82.610,99",US$ 29.558.455,US$ 29.558.455
Palm Economy  PALM,"US$ 0,001721","US$ 16.298,32",US$ 8.395.271,US$ 86.057.707
PancakeSwap  CAKE,"US$ 2,11",US$ 78.304.547,US$ 679.196.978,US$ 797.990.869
Pangolin  PNG,"US$ 0,1509",US$ 287.878,US$ 33.262.128,US$ 81.202.987
ParallelAI  PAI,"US$ 0,09886",US$ 277.918,US$ 9.885.766,US$ 9.885.766
ParaSwap  PSP,"US$ 0,01596","US$ 72.279,92",US$ 24.708.982,US$ 28.732.956
Parcl  PRCL,"US$ 0,07654",US$ 11.678.234,US$ 26.919.412,US$ 76.650.553
Paris Saint-Germain Fan Token  PSG,"US$ 2,04",US$ 2.517.862,US$ 16.663.070,US$ 40.516.427
PARSIQ  PRQ,"US$ 0,08489",US$ 515.223,US$ 24.851.529,US$ 26.337.068
Particle Network  PARTI,"US$ 0,179",US$ 32.184.598,US$ 41.672.713,US$ 178.852.848
Party  PARTY,"US$ 0,003045","US$ 96.271,46",US$ 6.287.093,US$ 6.287.093
Paws  PAWS,"US$ 0,0001319",US$ 8.972.657,US$ 8.351.695,US$ 13.173.021
Pax Dollar  USDP,"US$ 1,00",US$ 893.276,US$ 71.332.517,US$ 71.332.517
PAX Gold  PAXG,"US$ 3.315,01",US$ 37.818.925,US$ 786.804.782,US$ 786.804.782
Paycoin  PCI,"US$ 0,06965",US$ 1.562.421,US$ 71.228.826,US$ 132.346.849
PayPal USD  PYUSD,"US$ 0,9998",US$ 6.533.954,US$ 884.122.144,US$ 884.122.144
Peanut the Squirrel  PNUT,"US$ 0,189",US$ 158.065.480,US$ 189.299.170,US$ 189.299.170
Peapods Finance  PEAS,"US$ 2,78",US$ 427.969,US$ 27.638.028,US$ 27.638.028
peaq  PEAQ,"US$ 0,1351",US$ 4.008.761,US$ 102.920.546,US$ 576.381.464
Peercoin  PPC,"US$ 0,251","US$ 25.336,94",US$ 7.336.585,US$ 7.336.751
PeiPei  PEIPEI,"US$ 0,073887",US$ 2.335.306,US$ 16.352.669,US$ 16.352.669
Pendle  PENDLE,"US$ 3,44",US$ 71.015.644,US$ 558.105.950,US$ 969.569.035
Penpie  PNP,"US$ 1,96","US$ 23.075,22",US$ 10.292.972,US$ 19.562.163
Penumbra  UM,"US$ 0,3084","US$ 41.537,73",US$ 11.359.162,US$ 31.536.604
Pepe  PEPE,"US$ 0,059165",US$ 810.013.738,US$ 3.856.411.779,US$ 3.856.411.779
Pepe 2.0  PEPE2.0,"US$ 0,071361",US$ 1.056.049,US$ 6.385.081,US$ 6.385.081
Pepe Unchained  PEPU,"US$ 0,001944",US$ 2.979.080,US$ 15.502.991,US$ 15.502.991
PEPECAT  PEPECAT,"US$ 0,008482",US$ 519.084,US$ 8.503.938,US$ 8.503.938
Pepecoin  PEP,"US$ 0,000266",US$ 279.757,US$ 23.825.044,US$ 23.825.044
PepeCoin  PEPECOIN,"US$ 0,5721",US$ 1.065.379,US$ 61.689.477,US$ 61.689.477
PepeFork  PORK,"US$ 0,073487",US$ 771.723,US$ 11.512.110,US$ 14.656.753
Perpetual Protocol  PERP,"US$ 0,3173",US$ 30.393.261,US$ 23.047.509,US$ 47.612.352
Persistence One  XPRT,"US$ 0,07299",US$ 1.718.119,US$ 16.582.964,US$ 16.590.968
PHALA  PHA,"US$ 0,117",US$ 20.868.991,US$ 92.656.868,US$ 117.073.187
Phantasma  SOUL,"US$ 0,06123","US$ 49.945,09",US$ 7.598.880,US$ 7.598.880
Pharaoh  PHAR,"US$ 364,36",US$ 115.445,US$ 6.678.662,US$ 48.745.753
PHNIX  PHNIX,"US$ 0,00001422",US$ 500.527,US$ 7.513.029,US$ 8.340.729
Phoenix  PHB,"US$ 0,6331",US$ 23.710.766,US$ 32.549.882,US$ 32.549.882
Phoenix Global [OLD]  PHB,"US$ 0,003032","US$ 0,148",US$ 10.267.810,US$ 10.283.909
Pi Network  PI,"US$ 0,6497",US$ 62.262.923,US$ 4.523.441.939,US$ 6.959.141.444
Pibble  PIB,"US$ 0,0003644","US$ 76.181,76",US$ 8.799.761,US$ 10.820.566
Pikaboss  PIKA,"US$ 0,075069","US$ 3.867,17",US$ 21.324.920,US$ 21.324.920
PinkSale  PINKSALE,"US$ 233,12","US$ 827,26",US$ 23.311.975,US$ 23.311.975
PinLink  PIN,"US$ 0,6993",US$ 1.531.339,US$ 55.338.806,US$ 69.173.508
Pinto  PINTO,"US$ 0,7629",US$ 345.333,US$ 8.399.705,US$ 8.399.338
Pintu  PTU,"US$ 0,1167","US$ 1.051,59",US$ 8.600.426,US$ 34.983.464
pippin  PIPPIN,"US$ 0,01983",US$ 11.173.789,US$ 19.730.223,US$ 19.730.223
Pirate Chain  ARRR,"US$ 0,1191","US$ 52.577,17",US$ 23.315.266,US$ 23.765.165
Pirate Nation Token  PIRATE,"US$ 0,05162",US$ 534.947,US$ 10.577.362,US$ 50.979.770
PIVX  PIVX,"US$ 0,1516",US$ 1.536.572,US$ 13.998.887,US$ 13.998.979
Pixels  PIXEL,"US$ 0,04217",US$ 17.480.894,US$ 32.488.918,US$ 210.681.986
Pixer Eternity  PXT,"US$ 0,003511","US$ 46.775,76",US$ 7.555.787,US$ 35.112.461
PIXL  PIXL,"US$ 0,03386","US$ 66.192,40",US$ 16.932.155,US$ 16.932.155
Planet IX  IXT,"US$ 0,1143","US$ 54.722,48",US$ 15.637.655,US$ 17.499.203
PlatON Network  LAT,"US$ 0,004765",US$ 4.249.475,US$ 30.680.916,US$ 48.833.942
PLAYA3ULL GAMES  3ULL,"US$ 0,0005581",US$ 439.732,US$ 7.800.449,US$ 7.841.124
PlayDapp  PDA,"US$ 0,01322",US$ 47.156.969,US$ 8.158.543,US$ 9.239.824
Plume  PLUME,"US$ 0,17",US$ 32.781.096,US$ 340.000.725,US$ 1.700.003.625
Pluton  PLU,"US$ 0,8182",US$ 199.974,US$ 9.321.316,US$ 16.363.071
Pocket Network  POKT,"US$ 0,01427",US$ 237.801,US$ 28.516.481,US$ 33.552.962
Pocketcoin  PKOIN,"US$ 1,01",US$ 108.469,US$ 11.568.814,US$ 12.446.026
POL (ex-MATIC)  POL,"US$ 0,2453",US$ 79.680.918,US$ 2.128.719.449,US$ 2.551.614.008
Polaris Share  POLA,"US$ 0,0139","US$ 99.895,06",US$ 6.991.574,US$ 63.411.790
Polimec  PLMC,"US$ 0,1881","US$ 23.992,79",US$ 11.804.624,US$ 18.806.673
Polkadot  DOT,"US$ 4,27",US$ 144.443.662,US$ 6.496.052.862,US$ 6.496.052.862
Polkastarter  POLS,"US$ 0,2178",US$ 946.427,US$ 21.600.895,US$ 21.772.982
Polygon  MATIC,"US$ 0,2452",US$ 1.942.530,US$ 422.955.388,US$ 2.450.884.430
Polygon Bridged USDT (Polygon)  USDT,"US$ 1,00",US$ 11.076.071,US$ 794.963.471,US$ 794.963.471
Polygon Bridged WBTC (Polygon POS)  WBTC,"US$ 94.567,81",US$ 4.451.604,US$ 305.755.912,US$ 305.755.911
Polygon Hermez Bridged USDT (x Layer)  USDT,"US$ 1,00","US$ 3.160,88",US$ 10.024.716,US$ 10.024.716
Polygon PoS Bridged DAI (Polygon POS)  DAI,"US$ 0,9993",US$ 13.654.996,US$ 162.325.741,US$ 162.325.741
Polygon PoS Bridged WETH (Polygon POS)  WETH,"US$ 1.817,71",US$ 9.877.150,US$ 267.119.940,US$ 267.119.940
Polyhedra Network  ZKJ,"US$ 2,16",US$ 6.357.767,US$ 130.231.130,US$ 2.156.734.170
Polymath  POLY,"US$ 0,02427","US$ 872,18",US$ 21.808.650,US$ 24.270.914
Polymesh  POLYX,"US$ 0,1651",US$ 4.240.245,US$ 190.614.692,US$ 190.614.692
PolySwarm  NCT,"US$ 0,02141",US$ 1.234.431,US$ 40.369.183,US$ 40.378.010
Polytrade  TRADE,"US$ 0,1915",US$ 213.375,US$ 8.013.186,US$ 19.153.180
PondCoin  PNDC,"US$ 0,076842",US$ 204.456,US$ 6.326.718,US$ 28.784.102
PONKE  PONKE,"US$ 0,1263",US$ 16.815.455,US$ 70.247.745,US$ 70.255.598
Poollotto.finance  PLT,"US$ 2,15","US$ 216,19",US$ 34.125.017,US$ 41.359.612
Popcat  POPCAT,"US$ 0,4038",US$ 159.556.573,US$ 395.220.951,US$ 395.220.951
Port3 Network  PORT3,"US$ 0,02303",US$ 1.163.399,US$ 11.399.432,US$ 23.025.240
Portal  PORTAL,"US$ 0,09595",US$ 12.988.170,US$ 16.023.036,US$ 95.869.045
Powerledger  POWR,"US$ 0,1937",US$ 8.049.568,US$ 102.612.201,US$ 193.599.287
PPKAS  PPKAS,"US$ 0,0007859",US$ 139.468,US$ 7.894.511,US$ 7.894.511
Prefrontal Cortex Convo Agent by Virtuals  CONVO,"US$ 0,006471",US$ 226.111,US$ 6.470.952,US$ 6.470.952
Prom  PROM,"US$ 5,89",US$ 3.582.848,US$ 107.436.274,US$ 113.323.194
Propbase  PROPS,"US$ 0,02895",US$ 2.625.297,US$ 11.685.089,US$ 34.746.756
Propchain  PROPC,"US$ 0,5809",US$ 125.284,US$ 15.720.289,US$ 37.038.884
Propy  PRO,"US$ 0,7007",US$ 2.753.879,US$ 40.604.004,US$ 70.131.943
Prosper [OLD]  PROS,"US$ 0,1871","US$ 201,06",US$ 9.615.924,US$ 18.709.912
pSTAKE Finance  PSTAKE,"US$ 0,01682",US$ 2.139.902,US$ 8.409.336,US$ 8.409.336
Pudgy Penguins  PENGU,"US$ 0,009572",US$ 138.126.922,US$ 599.441.514,US$ 731.648.004
Puff The Dragon  PUFF,"US$ 0,07153",US$ 198.821,US$ 63.739.811,US$ 63.739.811
Puffer  PUFFER,"US$ 0,2085",US$ 11.314.858,US$ 21.316.131,US$ 208.368.828
PumpBTC  PUMP,"US$ 0,08781",US$ 15.825.076,US$ 25.034.845,US$ 87.841.561
pumpBTC  PUMPBTC,"US$ 91.179,55","US$ 3.028,67",US$ 468.660.608,US$ 468.660.608
Pundi AI  PUNDIAI,"US$ 5,48","US$ 99.021,95",US$ 45.236.204,US$ 45.237.017
Pundi X  PUNDIX,"US$ 0,3049",US$ 6.575.268,US$ 78.750.601,US$ 78.750.601
Pundi X [OLD]  NPXS,"US$ 0,00006458","US$ 3,63",US$ 15.274.029,US$ 16.693.423
PunkCity  PUNK,"US$ 0,1573","US$ 1.376,64",US$ 6.173.594,US$ 7.833.588
Pups (Bitcoin)  PUPS,"US$ 0,02541",US$ 229.333,US$ 25.058.475,US$ 25.058.475
PURPLE PEPE  PURPE,"US$ 0,00003805",US$ 103.236,US$ 16.007.231,US$ 16.007.231
Purr  PURR,"US$ 0,1078",US$ 2.377.484,US$ 64.338.153,US$ 64.338.154
Puss  PUSS,"US$ 0,01254",US$ 903.623,US$ 12.541.426,US$ 12.541.426
PVS  PVS,"US$ 0,006547",US$ 1.491.026,US$ 6.509.267,US$ 6.509.267
Pwease  PWEASE,"US$ 0,009449",US$ 7.949.546,US$ 9.359.186,US$ 9.359.186
Pyth Network  PYTH,"US$ 0,1642",US$ 25.393.758,US$ 594.940.532,US$ 1.641.220.338
PYTHIA  PYTHIA,"US$ 0,01793",US$ 1.038.453,US$ 17.929.414,US$ 17.929.414
QANplatform  QANX,"US$ 0,02877",US$ 171.710,US$ 48.989.589,US$ 60.503.584
QL1 Bridged USDT (QL1)  QUSDT,"US$ 1,00","US$ 25.905,00",US$ 100.036.513,US$ 100.036.513
Qtum  QTUM,"US$ 2,28",US$ 21.904.040,US$ 240.538.028,US$ 245.556.339
Quai Network  QUAI,"US$ 0,06977",US$ 2.189.932,US$ 33.995.340,US$ 209.286.321
Quant  QNT,"US$ 76,72",US$ 24.207.910,US$ 1.116.132.796,US$ 1.121.375.490
Quantoz USDQ  USDQ,"US$ 0,9998",US$ 1.020.503,US$ 7.981.082,US$ 51.006.602
Quantum Resistant Ledger  QRL,"US$ 0,3398","US$ 31.213,25",US$ 26.639.718,US$ 26.639.718
QuarkChain  QKC,"US$ 0,007916",US$ 2.028.250,US$ 56.327.037,US$ 79.164.365
Qubic  QUBIC,"US$ 0,051515",US$ 4.166.308,US$ 176.726.012,US$ 214.844.165
Quickswap  QUICK,"US$ 0,02575",US$ 17.287.292,US$ 19.307.035,US$ 24.944.171
Quickswap [OLD]  QUICK,"US$ 26,30","US$ 27.827,40",US$ 19.772.655,US$ 26.296.794
Quiztok  QTCON,"US$ 0,001108","US$ 54.210,38",US$ 12.377.107,US$ 13.294.387
Quorium  QGOLD,"US$ 3.297,37",US$ 113.929,US$ 276.979.377,US$ 276.979.377
RabBitcoin  RBTC,"US$ 0,051308",US$ 797.950,US$ 16.591.799,US$ 27.462.288
Radiant Capital  RDNT,"US$ 0,028",US$ 15.793.904,US$ 34.051.509,US$ 42.015.935
Radio Caca  RACA,"US$ 0,00009424",US$ 6.217.078,US$ 38.709.785,US$ 39.181.085
Radix  XRD,"US$ 0,0101",US$ 1.330.297,US$ 108.330.626,US$ 132.569.883
Radworks  RAD,"US$ 0,8074",US$ 10.711.261,US$ 40.225.544,US$ 80.725.849
Railgun  RAIL,"US$ 0,7926",US$ 190.360,US$ 45.573.781,US$ 45.573.781
RAMP [OLD]  RAMP,"US$ 0,05182","US$ 590,66",US$ 21.296.193,US$ 51.820.374
RARI  RARI,"US$ 1,22",US$ 341.310,US$ 21.915.992,US$ 30.505.540
Ravencoin  RVN,"US$ 0,01267",US$ 10.804.516,US$ 190.881.474,US$ 190.943.478
RavenQuest  QUEST,"US$ 0,0821","US$ 18.821,31",US$ 6.161.279,US$ 82.095.656
Raydium  RAY,"US$ 2,91",US$ 102.490.748,US$ 844.369.307,US$ 1.614.246.840
RCGE  $RCGE,"US$ 0,01422","US$ 2,43",US$ 168.805.259,US$ 168.805.259
Reactive Network  REACT,"US$ 0,08482",US$ 375.946,US$ 26.294.002,US$ 42.409.681
Realio Network Token  RIO,"US$ 0,2359",US$ 1.729.632,US$ 16.283.136,US$ 16.283.136
RealToken Ecosystem Governance  REG,"US$ 0,3481","US$ 2.045,11",US$ 25.251.954,US$ 174.392.681
Redbelly Network  RBNT,"US$ 0,02201",US$ 358.740,US$ 22.437.152,US$ 219.997.929
RedStone  RED,"US$ 0,4297",US$ 16.585.029,US$ 120.271.703,US$ 429.541.795
REECOIN  REE,"US$ 0,02324","US$ 66.298,08",US$ 11.580.012,US$ 11.580.012
Reef  REEF,"US$ 0,0004431",US$ 1.259.269,US$ 19.234.374,US$ 19.234.374
Rei  REI,"US$ 0,06041",US$ 1.047.194,US$ 60.707.265,US$ 60.707.265
REI Network  REI,"US$ 0,02839",US$ 3.657.151,US$ 27.737.207,US$ 28.390.817
Rekt  REKT,"US$ 0,077036",US$ 653.715,US$ 29.353.680,US$ 29.353.680
Relend Network USDC - Starknet  RUSDC-STARK,"US$ 0,9973","US$ 421,77",US$ 14.976.893,US$ 14.976.893
Relend USDC  REUSDC,"US$ 1,05","$0,00",US$ 59.258.734,US$ 59.258.734
Ren  REN,"US$ 0,01088",US$ 962.191,US$ 10.882.889,US$ 10.882.889
Render  RENDER,"US$ 4,51",US$ 201.114.011,US$ 2.332.252.518,US$ 2.398.745.367
Renzo  REZ,"US$ 0,01464",US$ 19.617.952,US$ 39.479.372,US$ 146.450.941
Renzo Restaked ETH  EZETH,"US$ 1.900,44",US$ 7.043.109,US$ 576.105.630,US$ 576.105.630
Renzo Restaked LST  PZETH,"US$ 2.179,14","US$ 423,41",US$ 54.813.789,US$ 54.813.789
Renzo Restaked SOL  EZSOL,"US$ 177,37",US$ 1.526.701,US$ 72.162.159,US$ 72.162.159
Request  REQ,"US$ 0,1212",US$ 2.216.467,US$ 90.199.171,US$ 121.129.189
ResearchCoin  RSC,"US$ 0,3087",US$ 220.656,US$ 35.528.416,US$ 308.683.297
Reserve Rights  RSR,"US$ 0,00936",US$ 31.367.120,US$ 531.104.913,US$ 935.877.874
Reservoir rUSD  RUSD,"US$ 0,9967",US$ 677.242,US$ 73.629.411,US$ 73.630.317
Resolv RLP  RLP,"US$ 1,17",US$ 123.491,US$ 61.425.912,US$ 61.425.912
Resolv USR  USR,"US$ 0,9993",US$ 10.060.490,US$ 309.696.072,US$ 309.696.072
Resolv wstUSR  WSTUSR,"US$ 1,08","US$ 7,99",US$ 43.641.127,US$ 43.641.122
Resupply USD  REUSD,"US$ 0,992",US$ 3.397.751,US$ 97.484.325,US$ 97.534.959
Retard Finder Coin  RFC,"US$ 0,02861",US$ 16.683.937,US$ 27.414.948,US$ 28.510.772
RETARDIO  RETARDIO,"US$ 0,01894",US$ 1.067.013,US$ 18.676.406,US$ 18.676.406
REVOX  REX,"US$ 0,0178",US$ 5.426.453,US$ 16.022.107,US$ 53.407.022
Ribbita by Virtuals  TIBBIR,"US$ 0,02611",US$ 987.365,US$ 26.110.111,US$ 26.110.111
Ribbon Finance  RBN,"US$ 0,1432","US$ 33.383,82",US$ 13.867.236,US$ 143.232.242
Rich Quack  QUACK,"US$ 0,093198",US$ 266.148,US$ 14.201.352,US$ 32.015.064
RIFT AI  RIFT,"US$ 0,009351","US$ 4.702,47",US$ 9.218.663,US$ 9.218.663
Rings scBTC  SCBTC,"US$ 94.254,83",US$ 195.847,US$ 37.665.579,US$ 37.665.579
Ripple USD  RLUSD,"US$ 0,9997",US$ 19.198.142,US$ 317.122.063,US$ 317.122.063
ROAM Token  ROAM,"US$ 0,2889",US$ 11.656.354,US$ 80.646.459,US$ 288.622.747
Robonomics Network  XRT,"US$ 3,47","US$ 13.199,06",US$ 10.008.844,US$ 10.008.844
Rocket Pool  RPL,"US$ 4,56",US$ 6.749.182,US$ 97.107.105,US$ 97.107.105
Rocket Pool ETH  RETH,"US$ 2.051,69",US$ 2.894.839,US$ 873.305.288,US$ 873.305.177
Rollbit Coin  RLB,"US$ 0,06773",US$ 496.875,US$ 144.540.017,US$ 144.540.017
Ronin  RON,"US$ 0,5777",US$ 8.693.848,US$ 357.582.220,US$ 577.313.798
Ronin Bridged WETH (Ronin)  WETH,"US$ 1.818,12",US$ 604.172,US$ 45.446.926,US$ 658.274.598
Rootstock Infrastructure Framework  RIF,"US$ 0,04692",US$ 2.102.470,US$ 46.916.397,US$ 46.916.397
Router Protocol  ROUTE,"US$ 0,01028",US$ 1.694.927,US$ 6.394.656,US$ 10.285.188
RSS3  RSS3,"US$ 0,06432",US$ 5.602.439,US$ 46.273.547,US$ 64.298.583
Rupiah Token  IDRT,"US$ 0,00005945","US$ 1.583,83",US$ 17.307.418,US$ 17.307.418
SaaSGo  SAAS,"US$ 0,08106",US$ 248.792,US$ 64.807.655,US$ 81.009.568
Safe  SAFE,"US$ 0,4638",US$ 7.870.106,US$ 262.904.591,US$ 463.753.267
SafeMoon  SFM,"US$ 0,00003003",US$ 475.606,US$ 11.189.865,US$ 11.189.865
SafePal  SFP,"US$ 0,5281",US$ 5.870.759,US$ 264.043.642,US$ 264.043.642
Saga  SAGA,"US$ 0,334",US$ 63.886.920,US$ 81.649.005,US$ 354.155.304
Sai  SAI,"US$ 9,53","US$ 101,16",US$ 25.561.396,US$ 25.561.396
SaitaChain Coin  STC,"US$ 0,0002085","US$ 19.016,23",US$ 8.796.055,US$ 11.447.500
Sally A1C  A1C,"US$ 1,10","US$ 47.097,10",US$ 11.647.808,US$ 23.175.958
Salute  SLT,"US$ 0,0001393","US$ 26.181,59",US$ 13.936.029,US$ 13.936.029
Samoyedcoin  SAMO,"US$ 0,003605",US$ 1.721.383,US$ 17.128.276,US$ 17.129.013
Sanctum Infinity  INF,"US$ 195,50",US$ 1.735.288,US$ 42.639.909,US$ 130.599.376
Santos FC Fan Token  SANTOS,"US$ 2,46",US$ 2.746.846,US$ 24.703.539,US$ 73.770.819
Saros  SAROS,"US$ 0,1285",US$ 9.996.198,US$ 337.297.484,US$ 1.284.942.883
SATS (Ordinals)  SATS,"US$ 0,075261",US$ 37.696.165,US$ 110.374.985,US$ 110.374.985
SaucerSwap  SAUCE,"US$ 0,04194",US$ 311.306,US$ 33.394.732,US$ 41.965.468
Savings crvUSD  SCRVUSD,"US$ 1,04",US$ 3.837.175,US$ 31.732.195,US$ 31.454.959
sBTC  SBTC,"US$ 94.882,12","US$ 46.592,58",US$ 94.882.121,US$ 94.882.121
Scallop  SCA,"US$ 0,1387",US$ 5.294.740,US$ 14.239.551,US$ 34.715.103
